"","subgraph.centrality.scores","Topological.Coefficient","Average.Distance","Barycenter.Centrality","BottleNeck.Centrality","Centroid.value","Closeness.Centrality..Freeman.","Decay.Centrality","Degree.Centrality","Diffusion.Degree","DMNC...Density.of.Maximum.Neighborhood.Component","Eccentricity.Centrality","eigenvector.centralities","K.core.Decomposition","Geodesic.K.Path.Centrality","Kleinberg.s.authority.centrality.scores","Kleinberg.s.hub.centrality.scores","Lin.Centrality","Lobby.Index..Centrality.","Markov.Centrality","Radiality.Centrality","Shortest.Paths.Betweenness.Centrality","Current.Flow.Closeness.Centrality","Closeness.centrality..Latora.","Cross.Clique.Connectivity","Entropy.Centrality","EPC...Edge.Percolated.Component","Laplacian.Centrality","Leverage.Centrality","MNC...Maximum.Neighborhood.Component","Semi.Local.Centrality","Residual.Closeness.Centrality","Stress.Centrality","Load.Centrality","Flow.Betweenness.Centrality","Information.Centrality","Harary.Centrality","Dangalchev.Closeness.Centrality","Group.Centrality","Harmonic.Centrality","Local.Bridging.Centrality","Wiener.Index.Centrality"
"HK3",933.454464944763,0.339393939393939,3.87022900763359,0.0019723865877712,23,-110,0.0019723865877712,17,5,63,0,8,0.166474831454871,3,72,0.166474831454871,0.166474831454871,32.8224852071006,4,0.00338010419460431,6.14728682170543,176.001998416218,1.00915414151726,42.5595238095238,10,12.0224545108465,719.107692307692,146,-0.175527161011032,3,2693,17,21,48.3611111111111,34,1.17968433238787,0.125,16,0.933501683501683,42.5595238095238,0.194058246743744,507
"IGSF6",630.946541081327,0.465909090909091,4.05343511450382,0.00188323917137476,2,-113,0.00188323917137476,14.59375,4,46,0,8,0.136626208399838,4,62,0.136626208399838,0.136626208399838,31.3389830508475,4,0.00315782341342435,5.96124031007752,3.46309523809524,0.98155538915216,39.1761904761905,7,12.0224545108465,716.038461538462,104,-0.396825396825397,3,1982,14.59375,33,56.4166666666667,38,1.20286816050348,0.142857142857143,13.59375,0.604040404040404,39.1761904761905,0.544871794871795,531
"ITGA5",3781.04282154843,0.357142857142857,3.31297709923664,0.00230414746543779,3,-74,0.00230414746543779,20.8125,7,137,0.0387870074129426,7,0.335401082422493,6,79,0.335401082422493,0.335401082422493,38.3433179723502,7,0.004817569107048,6.71317829457364,16.4128793828365,1.12774116191164,48.5357142857143,34,12.0224545108465,764.176923076923,316,-0.41311749930945,7,6083,20.8125,0,12,0,0.54787723364919,0.142857142857143,19.8125,0.529044562618417,48.5357142857143,0.330601864933597,434
"ITGAM",30897.2158697137,0.170814479638009,3.03053435114504,0.00251889168765743,101,-37,0.00251889168765743,27.6875,26,328,0.0953711873880924,7,0.962091536917974,7,81,0.962091536917973,0.962091536917973,41.9168765743073,12,0.0085760324436345,7,691.410537120816,1.28666367701858,60.8690476190476,406,12.0224545108465,772.923076923077,1306,0.421964270059129,26,14640,27.6875,2,15.3333333333333,6,1.08179087327945,0.142857142857143,26.6875,2.80564198480407,60.8690476190476,0.0118188276351999,397
"ITLN1",40.6605773454589,1,3.87022900763359,0.0019723865877712,0,-128,0.0019723865877712,13.03125,1,16,0,7,0.0338614365558069,1,56,0.033861436555807,0.033861436555807,32.8224852071006,1,0.0010466580939335,6.14728682170543,0,0.559667579539715,37.102380952381,2,12.0224545108465,404.138461538462,32,-0.875,1,672,13.03125,0,34,3,0.931068617586362,0.125,12.03125,0.5625,37.102380952381,15,507
"KRT15",7.34035631354218,0.5,3.9236641221374,0.00194552529182879,3,-126,0.00194552529182879,12.5,2,13,0,7,0.0112782958624015,1,51,0.0112782958624015,0.0112782958624015,32.375486381323,2,0.00100150789080483,6.09302325581395,128,0.548284215532806,36.5690476190476,3,12,409.730769230769,28,-0.166666666666667,1,324,12.5,0,12,0,0.912338874054361,0.125,11.5,0.924242424242424,36.5690476190476,0.454545454545455,514
"KRT5",694.768108460286,0.152083333333333,2.9618320610687,0.00257731958762887,91,-30,0.00257731958762887,22.75,10,86,0,6,0.141178879727339,4,86,0.141178879727339,0.141178879727339,42.889175257732,6,0.0054270075274428,7.06976744186047,1152.90220673787,1.1804599920269,52,18,11.9127897884249,760.446153846154,262,0.295200877553819,4,3183,22.75,0,6,0,0.817653949157689,0.142857142857143,21.75,2.15247118472925,52,0.0325833979829325,388
"LPL",3287.25136892957,0.281862745098039,3.3206106870229,0.00229885057471264,11,-75,0.00229885057471264,20.875,8,123,0.0310341404824074,7,0.313079060974586,5,78,0.313079060974586,0.313079060974586,38.2551724137931,7,0.00511201031934113,6.70542635658915,64.716942640846,1.14624836428939,48.7857142857143,30,12.0224545108465,768.1,302,-0.191114530016132,8,5486,20.875,70,105,78,1.0169770418391,0.125,19.875,0.807310278384132,48.7857142857143,0.158930373360242,435
"LTF",6098.20892884002,0.187878787878788,2.89312977099237,0.00263852242744063,94,-22,0.00263852242744063,24.5625,15,171,0.0975115741514923,6,0.426556999872704,6,85,0.426556999872704,0.426556999872704,43.9076517150396,7,0.0075297545678908,7.13953488372093,1150.15075182136,1.25861067871873,55.25,44,12,772.923076923077,552,0.288146252347988,14,7467,24.5625,6,20.5,14,0.989164345657216,0.125,23.5625,2.2155613353194,55.25,0.0226654628234032,379
"LUM",3549.70664202701,0.176384839650146,3.25190839694656,0.00234741784037559,25,-66,0.00234741784037559,22.625,14,138,0.0729347010393601,7,0.32167559822471,6,80,0.321675598224711,0.321675598224711,39.0633802816901,7,0.00626983554999125,6.77519379844961,478.16337270338,1.20926828567439,52.1190476190476,63,12.0224545108465,772.923076923077,458,0.322371914765424,11,5868,22.625,91,89.1513888888889,98,1.13648334146135,0.142857142857143,21.625,2.30228983978984,52.1190476190476,0.0244967180678999,426
